"yyyymmdd","CEA.DGR.COL","CEA.DGR.LIG","CEA.DGR.GAS","CEA.DGR.DIE","CEA.DGR.HSO","CEA.DGR.NAP","CEA.DGR.MFU","CEA.DGR.THM","CEA.DGR.NUC","CEA.DGR.HYD","CEA.DGR.BHU","CEA.DGR.TOT","CEA.DGR.WND","CEA.DGR.SOL","CEA.DGR.OTH","CEA.DGR.RES"
20180723,2306.182300,85.114300,115.337000,0.271000,0,0,0,2506.904600,114.171000,532.343000,31.430000,3184.848600,,,,
20180724,2398.044500,86.282400,120.747000,0.271000,0,0,0,2605.344900,119.349200,565.519600,30.880000,3321.093700,,,,
20180725,2330.806600,80.359900,122.757100,0.271000,0,0,0,2534.194600,118.476000,555.429400,0,3208.100000,,,,
20180726,2161.946600,79.621000,115.673100,0.271000,0,0,0,2357.511700,118.413000,528.228400,30.730000,3034.883100,,,,
20180727,2181.243600,88.580400,108.473000,0.271000,0,0,0,2378.568000,122.492000,543.982900,30.500000,3075.542900,,,,
20180728,2259.178000,82.228200,106.833600,0.271000,0,0,0,2448.510800,123.043000,534.664800,30.460000,3136.678600,,,,
20180729,2257.924500,73.177600,104.998000,0.271000,0,0,0,2436.371100,126.347000,555.078000,29.510000,3147.306100,,,,
20180730,2415.324400,81.701200,115.870000,0.271000,0,0,0,2613.166600,127.020000,584.786400,29.510000,3354.483000,,,,
20180731,2456.605000,74.196400,117.407000,0.271000,0,0,0,2648.479400,126.732000,550.981100,29.510000,3355.702500,,,,
20180801,2480.083800,75.461600,116.983000,0.271000,0,0,0,2672.799400,110.908000,541.385000,29.720000,3354.812400,,,,
20180802,2539.821000,79.161100,117.112000,0.271000,0,0,0,2736.365100,86.187000,564.991500,30.220000,3417.763600,,,,
20180803,2584.660000,83.138500,127.543000,0.271000,0,0,0,2795.612500,85.920000,568.964100,31.670000,3482.166600,,,,
20180804,2608.293000,89.424500,125.950000,0.271000,0,0,0,2823.938500,82.058000,566.236900,30.950000,3503.183400,,,,
20180805,2515.094000,85.441000,119.473000,0.271000,0,0,0,2720.279000,85.949000,549.776600,30.760000,3386.764600,,,,
20180806,2524.699000,88.831100,121.535900,0.271000,0,0,0,2735.337000,86.858000,551.088800,29.960000,3403.243800,,,,
20180807,2613.990900,84.377200,124.727000,0.271000,0,0,0,2823.366100,86.849000,511.125800,28.610000,3449.950900,,,,
20180808,2635.320000,81.590100,141.052000,0.271000,0,0,0,2858.233100,86.811000,536.329700,28.610000,3509.983800,,,,
20180809,2693.260000,79.497200,131.418000,0.271000,0,0,0,2904.446200,85.858000,521.385200,30.580000,3542.269400,,,,
20180810,2710.219000,82.921400,136.292000,0.271000,0,0,0,2929.703400,85.411000,552.520700,31.060000,3598.695100,,,,
20180811,2584.473000,69.960600,127.001000,0.271000,0,0,0,2781.705600,85.963000,555.018100,30.890000,3453.576700,,,,
20180812,2376.027000,69.968400,119.627000,0.271000,0,0,0,2565.893400,85.409000,555.691300,31.500000,3238.493700,,,,
20180813,2487.815100,74.831900,124.300000,0.271000,0,0,0,2687.218000,83.813000,557.969700,32.330000,3361.330700,,,,
20180814,2580.740000,82.201700,129.638000,0.271000,0,0,0,2792.850700,85.406000,594.325400,32.330000,3504.912100,,,,
20180815,2389.588000,72.735100,112.888000,0.271000,0,0,0,2575.482100,85.233000,585.690600,32.330000,3278.735700,,,,
20180816,2397.790000,82.480000,115.200000,0.270000,0,0,0,2595.740000,87.010000,605.490000,30.520000,3318.760000,,,,
20180817,2425.870000,85.960000,112.100000,0.270000,0,0,0,2624.200000,85.400000,634.750000,28.420000,3372.770000,,,,
20180818,2490.180000,84.830000,116.780000,0.270000,0,0,0,2692.060000,86.580000,595.380000,30.900000,3404.920000,,,,
20180819,2337.210000,78.840000,113.800000,0.270000,0,0,0,2530.120000,85.860000,622.180000,30.670000,3268.830000,,,,
20180820,2373.250000,80.880000,118.610000,0.270000,0,0,0,2573.010000,86.590000,637.800000,30.030000,3327.430000,,,,
20180821,2419.130000,80.170000,119.410000,0.270000,0,0,0,2618.980000,86.820000,642.250000,30.500000,3378.550000,,,,
20180822,2449.630000,84.680000,122.280000,0.270000,0,0,0,2656.860000,86.740000,650.350000,29.540000,3423.490000,,,,
20180823,2425.000000,89.570000,115.570000,0.270000,0,0,0,2630.410000,84.190000,631.200000,29.400000,3375.200000,,,,
20180824,2458.540000,86.510000,117.950000,0.270000,0,0,0,2663.270000,81.250000,614.120000,31.040000,3389.680000,,,,
20180825,2415.010000,86.380000,114.410000,0.270000,0,0,0,2616.070000,83.140000,649.070000,30.930000,3379.210000,,,,
20180826,2249.180000,85.280000,109.590000,0.270000,0,0,0,2444.320000,86.310000,637.520000,31.320000,3199.470000,,,,
20180827,2409.400000,93.710000,115.350000,0.270000,0,0,0,2618.730000,86.550000,674.660000,29.850000,3409.790000,,,,
20180828,2479.480000,96.850000,112.060000,0.270000,0,0,0,2688.660000,86.520000,682.080000,30.590000,3487.850000,,,,
20180829,2495.350000,94.110000,110.060000,0.270000,0,0,0,2699.790000,86.570000,675.990000,30.760000,3493.110000,,,,
20180830,2489.720000,95.410000,110.340000,0.270000,0,0,0,2695.740000,86.650000,673.130000,29.940000,3485.460000,,,,
20180831,2470.260000,97.590000,109.460000,0.270000,0,0,0,2677.580000,85.620000,705.970000,29.790000,3498.960000,,,,
20180901,2442.390000,89.940000,107.520000,0.270000,0,0,0,2640.120000,81.080000,698.990000,30.450000,3450.640000,,,,
20180902,2281.840000,83.800000,102.410000,0.270000,0,0,0,2468.320000,81.170000,677.820000,31.630000,3258.940000,,,,
20180903,2322.410000,91.160000,97.600000,0.360000,0,0,0,2511.530000,85,686.700000,30.590000,3313.820000,,,,
20180904,2423.310000,90.820000,101.960000,0.360000,0,0,0,2616.450000,85.850000,659.290000,34.170000,3395.760000,,,,
20180905,2448.410000,87.380000,107.000000,0.360000,0,0,0,2643.150000,80.730000,654.660000,33.390000,3411.930000,,,,
20180906,2477.250000,88.870000,111.370000,0.360000,0,0,0,2677.850000,80.890000,619.480000,33.710000,3411.930000,,,,
20180907,2469.580000,94.450000,135.320000,0.360000,0,0,0,2699.710000,80.130000,634.670000,28.660000,3443.170000,,,,
20180908,2510.710000,94.410000,117.550000,0.360000,0,0,0,2723.030000,75.300000,657.280000,31.870000,3487.480000,,,,
20180909,2549.720000,92.970000,111.050000,0.360000,0,0,0,2754.100000,74.940000,678.450000,26.640000,3534.130000,,,,
20180910,2679.870000,100.210000,126.910000,0.360000,0,0,0,2907.350000,79.560000,666.220000,33.630000,3686.760000,,,,
20180911,2759.680000,102.610000,123.090000,0.360000,0,0,0,2985.740000,79.580000,650.110000,32.460000,3747.890000,,,,
20180912,2774.320000,99.090000,123.050000,0.360000,0,0,0,2996.820000,80.060000,607.580000,34.850000,3719.310000,,,,
20180913,2773.760000,93.160000,137.810000,0.360000,0,0,0,3005.090000,80.590000,553.030000,35.040000,3673.750000,,,,
20180914,2886.350000,87.050000,146.700000,0.360000,0,0,0,3120.460000,94.650000,570.530000,34.820000,3820.460000,,,,
20180915,2918.500000,83.790000,160.060000,0.360000,0,0,0,3162.710000,97.680000,570.620000,32.600000,3863.610000,,,,
20180916,2912.160000,83.470000,166.120000,0.360000,0,0,0,3162.110000,97.470000,507.750000,33,3800.330000,,,,
20180917,2905.550000,85.340000,172.590000,0.360000,0,0,0,3163.840000,95.680000,502.850000,34.440000,3796.810000,,,,
20180918,2938.080000,87.330000,167.660000,0.360000,0,0,0,3193.430000,91.740000,479.090000,31.710000,3795.970000,,,,
20180919,2970.770000,93.680000,151.810000,0.360000,0,0,0,3216.620000,91.050000,488.560000,32.950000,3829.180000,,,,
20180920,2954.040000,93.310000,149.450000,0.360000,0,0,0,3197.160000,88.110000,497.500000,32.950000,3815.720000,,,,
20180921,2804.520000,90.750000,147.480000,0.360000,0,0,0,3043.110000,80.810000,471.110000,27.610000,3622.640000,,,,
20180922,2544.040000,83.900000,130.130000,0.360000,0,0,0,2758.430000,81.980000,510.970000,28.210000,3379.590000,,,,
20180923,2440.880000,86.650000,121.600000,0.360000,0,0,0,2649.490000,83.290000,559.700000,25.940000,3318.420000,,,,
20180924,2559.360000,87.110000,137.970000,0.360000,0,0,0,2784.800000,82.890000,598.330000,22.910000,3488.930000,,,,
20180925,2646.580000,90.840000,145.030000,0.360000,0,0,0,2882.810000,82.650000,575.540000,25.060000,3566.060000,,,,
20180926,2711.200000,88.200000,172.880000,0.360000,0,0,0,2972.640000,83.750000,553.960000,23.720000,3634.070000,,,,
20180927,2746.860000,88.580000,177.580000,0.360000,0,0,0,3013.380000,90.560000,546.170000,21.770000,3671.880000,,,,
20180928,2806.000000,88.770000,187.960000,0.360000,0,0,0,3083.090000,91.670000,529.060000,20.780000,3724.600000,,,,
20180929,2838.230000,93.260000,183.010000,0.360000,0,0,0,3114.860000,90.280000,508.110000,20.330000,3733.580000,,,,
20180930,2777.830000,88.750000,164.380000,0.360000,0,0,0,3031.320000,91.770000,507.030000,18.400000,3648.520000,,,,
20181001,2851.110000,89.160000,186.630000,0.360000,0,0,0,3127.260000,91.640000,484.180000,18,3721.080000,,,,
20181002,2825.030000,93.410000,176.070000,0.360000,0,0,0,3094.870000,95.540000,460.900000,17.880000,3669.190000,,,,
20181003,2920.660000,97.620000,187.930000,0.360000,0,0,0,3206.570000,94.950000,491.030000,17.970000,3810.520000,,,,
20181004,2915.780000,86.740000,212.190000,0.360000,0,0,0,3215.070000,94.460000,489.730000,16.210000,3815.470000,,,,
20181005,2892.980000,87.620000,221.560000,0.360000,0,0,0,3202.520000,85.850000,477.900000,15.980000,3782.250000,,,,
20181006,2878.800000,82.800000,215.790000,0.360000,0,0,0,3177.750000,82.510000,479.440000,15.450000,3755.150000,,,,
20181007,2853.040000,83.700000,204.550000,0.360000,0,0,0,3141.650000,79.720000,452.100000,16.330000,3689.800000,,,,
20181008,2923.800000,90.970000,214.670000,0.360000,0,0,0,3229.800000,83.330000,485.970000,14.840000,3813.940000,,,,
20181009,2902.860000,94.100000,221.760000,0.360000,0,0,0,3219.080000,83.330000,482.830000,13.150000,3798.390000,,,,
20181010,2943.300000,101.660000,224.100000,0.360000,0,0,0,3269.420000,83.160000,459.330000,11.700000,3823.610000,,,,
20181011,2886.110000,105.630000,205.000000,0.360000,0,0,0,3197.100000,84.340000,417.470000,12.580000,3711.490000,,,,
20181012,2894.400000,102.880000,167.330000,0.360000,0,0,0,3164.970000,95.490000,431.170000,13.350000,3704.980000,,,,
20181013,2892.330000,105.120000,150.920000,0.360000,0,0,0,3148.730000,103.210000,421.590000,13.730000,3687.260000,,,,
20181014,2834.680000,113.600000,137.570000,0.360000,0,0,0,3086.210000,101.710000,405.880000,11.460000,3605.260000,,,,
20181015,2910.380000,115.700000,158.190000,0.360000,0,0,0,3184.630000,99.120000,400.750000,11.460000,3695.960000,,,,
20181016,2911.240000,112.080000,169.610000,0.360000,0,0,0,3193.290000,100.710000,400.160000,11.160000,3705.320000,,,,
20181017,2897.960000,115.230000,163.450000,0.440000,0,0,0,3177.080000,101.780000,372.560000,9.370000,3660.790000,,,,
20181018,2811.130000,114.080000,145.370000,0.440000,0,0,0,3071.020000,90.110000,351.270000,10.200000,3522.600000,,,,
20181019,2790.200000,115.920000,130.160000,0.440000,0,0,0,3036.720000,91.110000,352.370000,8.950000,3489.150000,,,,
20181020,2834.340000,110.970000,133.520000,0.360000,0,0,0,3079.190000,90.580000,373.520000,9.530000,3552.820000,,,,
20181021,2800.350000,111.300000,147.940000,0.440000,0,0,0,3060.030000,91.580000,363.190000,9.130000,3523.930000,,,,
20181022,2837.890000,108.630000,159.430000,0.360000,0,0,0,3106.310000,101.900000,397.550000,8.820000,3614.580000,,,,
20181023,2874.390000,105.770000,176.890000,0.360000,0,0,0,3157.410000,108.800000,390.600000,9.710000,3666.520000,,,,
20181024,2872.180000,106.710000,191.710000,0.360000,0,0,0,3170.960000,111.630000,371.380000,7.870000,3661.840000,,,,
20181025,2858.670000,113.100000,197.900000,0.360000,0,0,0,3170.030000,111.940000,360.060000,6.520000,3648.550000,,,,
20181026,2832.380000,103.800000,179.380000,0.360000,0,0,0,3115.920000,112.450000,345.460000,7.300000,3581.130000,,,,
20181027,2834.340000,99.810000,166.590000,0.360000,0,0,0,3101.100000,112.470000,338.050000,7.200000,3558.820000,,,,
20181028,2737.470000,94.260000,154.360000,0.360000,0,0,0,2986.450000,112.830000,315.210000,6.920000,3421.410000,,,,
20181029,2798.880000,91.490000,167.810000,0.360000,0,0,0,3058.540000,111.740000,345.930000,7.150000,3523.360000,,,,
20181030,2799.670000,91.330000,197.010000,0.360000,0,0,0,3088.370000,113.190000,359.470000,7.190000,3568.220000,,,,
20181031,2825.680000,97.580000,196.140000,0.360000,0,0,0,3119.760000,111.920000,344.540000,6.840000,3583.060000,,,,
20181101,2867.250000,101.200000,175.220000,0.360000,0,0,0,3144.030000,109.170000,314.180000,7.070000,3574.450000,,,,
20181102,2853.860000,102.190000,181.640000,0.360000,0,0,0,3138.050000,107.980000,323.310000,7.450000,3576.790000,,,,
20181103,2843.720000,73.800000,152.700000,0.360000,0,0,0,3070.580000,109.370000,330.310000,7.450000,3517.710000,,,,
20181104,2722.960000,74.590000,129.630000,0.360000,0,0,0,2927.540000,111.570000,326.190000,6.640000,3371.940000,,,,
20181105,2828.260000,79.820000,137.860000,0.360000,0,0,0,3046.300000,111.290000,326.840000,6.330000,3490.760000,,,,
